"","Class","Eccentricity","Aspect_Ratio","Elongation","Solidity","Stochastic_Convexity","Isoperimetric_Factor","Maximal_Indentation_Depth","Lobedness","Average_Intensity","Average_Contrast","Smoothness","X.Third_Moment","Uniformity","Entropy"
"128",15,0.51153,1.0767,0.47053,0.77952,0.90702,0.28838,0.076992,1.0789,0.084711,0.17213,0.028776,0.0099656,0.00039644,2.0412
"129",15,0.44271,1.0836,0.49548,0.74434,0.87018,0.26478,0.079481,1.1497,0.10151,0.1726,0.028929,0.0076406,0.00084487,2.389
"130",15,0.30574,1.1176,0.58847,0.66502,0.84737,0.24074,0.10064,1.8435,0.074621,0.14273,0.019966,0.0054026,0.00062391,2.1403
"131",22,0.91885,2.638,0.62859,0.96692,0.99123,0.52269,0.020081,0.07339,0.054145,0.1674,0.027257,0.013322,0.00016644,0.8989
"132",22,0.88965,2.3863,0.59051,0.90564,0.98421,0.5136,0.048934,0.43581,0.062886,0.17454,0.029562,0.013364,0.00026357,1.0734
"133",22,0.9456,3.1174,0.70912,0.79489,0.89298,0.33915,0.13457,3.2956,0.052685,0.14875,0.021648,0.008569,0.00025614,1.0503
"134",22,0.91747,2.7054,0.64091,0.87687,0.98947,0.42531,0.089364,1.4534,0.042216,0.12098,0.014424,0.0047692,0.0003061,1.0097
"135",22,0.86049,2.0997,0.532,0.9358,0.98772,0.5343,0.033994,0.21032,0.040254,0.13592,0.01814,0.0080226,0.00010143,0.82059
"136",22,0.89808,2.4056,0.59137,0.93186,0.98596,0.51229,0.029398,0.15729,0.044185,0.15479,0.0234,0.012336,7.6339e-05,0.78887
"137",22,0.86988,2.1277,0.53926,0.96257,1,0.64927,0.027899,0.14166,0.026849,0.096968,0.0093152,0.0032376,0.00010402,0.7271
"138",22,0.86675,2.0417,0.52999,0.94477,0.98947,0.55141,0.028749,0.15043,0.031023,0.12007,0.014211,0.0064538,6.947e-05,0.64966
"139",22,0.93396,2.9367,0.66689,0.92543,0.99474,0.45676,0.030052,0.16437,0.015159,0.071198,0.0050436,0.0017096,4.8527e-05,0.46762
"140",23,0.61823,1.2435,0.33084,0.94147,0.9614,0.64089,0.024255,0.10708,0.017543,0.09745,0.0094072,0.0051286,1.2841e-05,0.37324
"141",23,0.61717,1.2296,0.34897,0.93189,0.97368,0.60176,0.025375,0.11719,0.012906,0.070197,0.0049035,0.0019323,2.4448e-05,0.37728
"142",23,0.62404,1.1599,0.47899,0.91562,0.85088,0.45154,0.097205,1.7197,0.013983,0.076408,0.0058043,0.0024109,2.5646e-05,0.36029
"143",23,0.48229,1.1574,0.42617,0.91741,0.92456,0.46699,0.063396,0.73147,0.026522,0.105,0.010904,0.0044681,6.7833e-05,0.63468
"144",23,0.50771,1.1084,0.25071,0.93529,0.98596,0.64927,0.02595,0.12256,0.013493,0.073509,0.0053745,0.0021246,3.1877e-05,0.3475
"145",23,0.6018,1.2254,0.41835,0.94269,0.95263,0.54871,0.058835,0.62999,0.016202,0.074883,0.0055761,0.0018797,7.1264e-05,0.43769
"146",23,0.63548,1.202,0.47365,0.89373,0.86842,0.44347,0.077616,1.0964,0.022403,0.10386,0.010672,0.005084,3.1292e-05,0.48911
"147",23,0.65048,1.2354,0.44987,0.90929,0.89123,0.57594,0.070699,0.9097,0.0093349,0.0592,0.0034924,0.0013047,2.2232e-05,0.26169
"148",24,0.64604,1.4683,0.35457,0.9588,0.99123,0.70641,0.02021,0.074334,0.059026,0.12721,0.015925,0.0037362,0.0012496,1.3596
"149",24,0.55457,1.2955,0.25519,0.97441,0.99825,0.7824,0.012063,0.026483,0.020129,0.076722,0.0058518,0.0016389,0.00012751,0.60629
"150",24,0.4443,1.2035,0.19432,0.98319,1,0.833,0.010317,0.019373,0.029059,0.10265,0.010427,0.003627,0.00011748,0.73255
"151",24,0.6368,1.4266,0.29976,0.9747,0.99825,0.78457,0.013385,0.032608,0.028272,0.084495,0.0070888,0.0017155,0.00031351,0.913
"152",24,0.64168,1.4853,0.3362,0.95562,0.99825,0.72952,0.017439,0.05535,0.02413,0.074641,0.0055403,0.001194,0.00031921,0.82279
"153",24,0.58232,1.343,0.29271,0.95055,0.99825,0.71499,0.026876,0.13146,0.068134,0.13204,0.017136,0.0036798,0.0014697,1.6315
"154",24,0.11708,1.0944,0.1745,0.97545,1,0.81957,0.016114,0.047259,0.033007,0.087092,0.0075278,0.001568,0.0006066,1.0292
"155",24,0.53283,1.3078,0.25925,0.96727,1,0.77065,0.017745,0.057312,0.05341,0.12259,0.014806,0.0035923,0.0012358,1.1886
"156",24,0.52828,1.2496,0.2238,0.98317,1,0.82495,0.010372,0.01958,0.047482,0.10274,0.010444,0.0019794,0.0011976,1.341
"157",24,0.64897,1.4597,0.3304,0.97406,1,0.75323,0.016021,0.046715,0.012025,0.050266,0.0025203,0.00051116,0.00013299,0.49261
"158",25,0.72162,1.4686,0.43475,0.91337,0.98596,0.60738,0.046324,0.39055,0.097628,0.18471,0.032992,0.0097255,0.001043,1.8296
"159",25,0.71573,1.3808,0.37798,0.95035,0.99123,0.68138,0.025077,0.11445,0.10429,0.23183,0.051004,0.023571,0.00044425,1.5025
"160",25,0.81957,1.56,0.49513,0.91036,0.98421,0.60691,0.045977,0.38473,0.097894,0.20665,0.040954,0.015521,0.0007191,1.5452
"161",25,0.83029,1.633,0.49437,0.92597,0.96842,0.62529,0.045331,0.37399,0.13423,0.2648,0.065523,0.029786,0.00074416,1.7493
"162",25,0.7831,1.5389,0.42639,0.94648,0.97544,0.65478,0.038706,0.27266,0.12607,0.24469,0.056492,0.023259,0.00066766,1.8504
"163",25,0.78823,1.6027,0.44995,0.91357,0.95614,0.62781,0.060707,0.67072,0.12958,0.2522,0.059803,0.025228,0.0009264,1.7489
"164",25,0.83094,1.6643,0.49439,0.96016,0.99649,0.65605,0.023841,0.10345,0.12266,0.24766,0.057789,0.025308,0.00078336,1.7001
"165",26,0.55626,1.2516,0.23975,0.9802,1,0.81411,0.0073087,0.009722,0.056955,0.17933,0.031157,0.017403,8.4502e-05,0.98858
"166",26,0.29901,1.0375,0.10761,0.98386,1,0.84936,0.011462,0.023912,0.032883,0.096034,0.0091383,0.0025695,0.00018734,1.0837
"167",26,0.48223,1.1577,0.16908,0.97886,1,0.71192,0.008864,0.0143,0.037174,0.11384,0.012794,0.0044407,0.00014852,1.0089
"168",26,0.5895,1.2708,0.24364,0.98173,0.99649,0.82082,0.0074388,0.010071,0.041688,0.11576,0.013223,0.0041,0.00025724,1.1105
"169",26,0.322,1.0698,0.13626,0.98017,0.99825,0.81953,0.012913,0.030347,0.076267,0.18383,0.03269,0.014159,0.00026309,1.4955
"170",26,0.482,1.1415,0.15235,0.98536,1,0.85572,0.0072199,0.009487,0.021863,0.079283,0.0062465,0.0017479,0.00013143,0.69178
"171",26,0.87402,2.0754,0.55373,0.96281,0.98421,0.56448,0.019656,0.070316,0.037553,0.10946,0.011839,0.0038499,0.00021407,1.0693
"172",26,0.58138,1.2486,0.21485,0.98704,1,0.83511,0.0046582,0.0039492,0.04072,0.11304,0.012618,0.0036743,0.00033322,1.0368
"173",26,0.40974,1.0732,0.14538,0.98155,1,0.8407,0.0042083,0.0032232,0.04953,0.1489,0.021691,0.010419,0.00010258,1.1781
"174",27,0.60267,1.254,0.20587,0.98883,1,0.80193,0.0084333,0.012944,0.017777,0.061786,0.003803,0.00091963,0.00015231,0.85839
"175",27,0.66906,1.2751,0.30877,0.9877,1,0.85816,0.0048599,0.0042987,0.031488,0.094241,0.0088032,0.0025337,0.00019057,1.0378
"176",27,0.72719,1.4779,0.3298,0.99388,1,0.8423,0.0029668,0.0016019,0.02634,0.081903,0.0066634,0.0017846,0.0001939,0.9805
"177",27,0.79923,1.6549,0.40919,0.98964,1,0.815,0.0048968,0.0043641,0.028693,0.091008,0.0082145,0.0025009,0.00013606,0.98834
"178",27,0.81354,1.6924,0.41016,0.99256,1,0.78909,0.0046348,0.0039096,0.031342,0.096493,0.0092251,0.0028704,0.00017007,1.0171
"179",27,0.8031,1.652,0.40268,0.97695,1,0.79833,0.010883,0.021558,0.046764,0.10227,0.010352,0.0021515,0.00074063,1.5053
"180",27,0.79389,1.5303,0.42937,0.96802,0.99649,0.79209,0.016566,0.049949,0.04703,0.11769,0.013661,0.0041812,0.00034846,1.42
"181",27,0.66551,1.3617,0.26804,0.98949,1,0.76603,0.005179,0.0048816,0.017792,0.074392,0.0055037,0.0018166,5.245e-05,0.62317
"182",28,0.946,3.3475,0.7081,0.96212,1,0.45671,0.035434,0.22851,0.054986,0.13106,0.016886,0.0047646,0.00051238,1.3088
"183",28,0.93038,2.8852,0.67525,0.95738,1,0.50964,0.027111,0.13377,0.050703,0.12329,0.014972,0.0041932,0.00032166,1.3848
"184",28,0.91549,2.6796,0.62862,0.96381,1,0.55874,0.019083,0.066276,0.10351,0.19882,0.038028,0.012751,0.00057453,1.9702
"185",28,0.87202,2.1536,0.53817,0.9788,1,0.65619,0.020327,0.075203,0.081306,0.18726,0.033878,0.013211,0.00036142,1.4606
"186",28,0.91677,2.6955,0.62998,0.98275,1,0.59459,0.0049218,0.0044087,0.10467,0.1876,0.033997,0.0096762,0.00085264,2.0585
"187",28,0.8762,2.2436,0.56314,0.98425,1,0.65133,0.010195,0.018915,0.14482,0.22485,0.048122,0.013423,0.0012638,2.4685
"188",28,0.92081,2.9198,0.65845,0.96861,0.99825,0.52299,0.011587,0.024437,0.064788,0.16842,0.027581,0.01122,0.00024357,1.2406
"189",28,0.86832,2.141,0.54004,0.98483,1,0.69313,0.009048,0.0149,0.11927,0.2052,0.040405,0.011659,0.0010933,2.1073
"190",28,0.93323,3.222,0.69174,0.95791,1,0.48142,0.022654,0.093403,0.075307,0.17561,0.029915,0.011062,0.00039957,1.4215
"191",29,0.8375,1.9512,0.4905,0.968,0.98246,0.65138,0.016224,0.047908,0.0051195,0.035621,0.0012673,0.0003224,1.1238e-05,0.23514
"192",29,0.83275,2.0014,0.50157,0.9557,0.99649,0.67019,0.028422,0.14702,0.0092534,0.051082,0.0026026,0.00073282,4.0071e-05,0.32567
"193",29,0.84579,2.0052,0.49931,0.96585,0.99825,0.65149,0.019981,0.07266,0.0050343,0.036189,0.0013079,0.00035119,8.7642e-06,0.22547
"194",29,0.74053,1.6378,0.3892,0.9666,1,0.74844,0.025032,0.11404,0.0083497,0.045391,0.0020561,0.00054932,2.9454e-05,0.38449
"195",29,0.82924,1.8903,0.47248,0.96435,0.99825,0.661,0.023836,0.10341,0.0057361,0.037634,0.0014143,0.00036897,1.3273e-05,0.27099
"196",29,0.82256,1.9016,0.47622,0.96505,1,0.69746,0.025026,0.11398,0.0056632,0.033415,0.0011153,0.00022942,3.7442e-05,0.29502
"197",29,0.84501,2.0918,0.51732,0.9451,1,0.6071,0.039781,0.28802,0.0081002,0.044849,0.0020074,0.00050789,2.9215e-05,0.34316
"198",29,0.8187,1.9126,0.47835,0.94904,0.99298,0.58585,0.03806,0.26364,0.0050219,0.034026,0.0011564,0.00029213,1.5463e-05,0.26037
"199",29,0.80728,1.857,0.46197,0.95012,0.99298,0.60913,0.028443,0.14724,0.0096387,0.060095,0.0035984,0.0013452,1.6802e-05,0.27688
"200",30,0.52914,1.2066,0.25595,0.93945,0.97895,0.51693,0.019009,0.065765,0.14675,0.19841,0.037876,0.0073471,0.0023476,2.7085
"201",30,0.55518,1.2318,0.25226,0.94783,0.99123,0.54965,0.015115,0.041582,0.059148,0.13996,0.019211,0.0057336,0.00042099,1.3579
"202",30,0.35141,1.1428,0.24265,0.93638,0.99123,0.47846,0.019721,0.070781,0.1074,0.18794,0.034115,0.0089893,0.0015026,1.9019
"203",30,0.4803,1.2022,0.26797,0.94544,0.99825,0.52139,0.022778,0.09443,0.066259,0.14818,0.021485,0.0061942,0.00073522,1.3669
"204",30,0.19287,1.0551,0.25044,0.93641,0.99474,0.47284,0.019693,0.070581,0.055935,0.1303,0.016694,0.0045832,0.00044001,1.4111
"205",30,0.33254,1.1208,0.27473,0.93625,0.99474,0.49836,0.024394,0.1083,0.10809,0.16882,0.027709,0.0059808,0.0012335,2.4866
"206",30,0.39606,1.1647,0.29415,0.94064,0.99298,0.5486,0.025244,0.11598,0.051625,0.12014,0.014228,0.003721,0.00038216,1.4943
"207",30,0.41933,1.1928,0.30567,0.93428,0.98947,0.50688,0.020948,0.079866,0.057408,0.12508,0.015404,0.003903,0.00045984,1.6497
"208",30,0.45767,1.1629,0.24078,0.94275,0.99298,0.63919,0.020279,0.074844,0.028432,0.095746,0.0090841,0.002812,0.0001478,0.78535
"209",31,0.99541,9.4912,0.91397,0.84991,0.97368,0.17429,0.082108,1.227,0.012512,0.060688,0.0036695,0.0010735,5.216e-05,0.41928
"210",31,0.99611,11.006,0.92239,0.86962,0.99123,0.14581,0.064792,0.76404,0.011176,0.057808,0.0033307,0.00098398,3.9298e-05,0.3731
"211",31,0.99767,12.009,0.94529,0.67005,0.94386,0.11114,0.19898,7.2062,0.010215,0.051104,0.0026048,0.00066765,4.5324e-05,0.39905
"212",31,0.99456,9.7351,0.90444,0.93346,0.98421,0.19638,0.020897,0.079479,0.016599,0.075247,0.0056302,0.0019012,4.441e-05,0.48992
"213",31,0.99502,8.991,0.92789,0.68687,0.86842,0.14478,0.18853,6.4689,0.013268,0.068973,0.0047347,0.001673,3.4802e-05,0.37492
"214",31,0.99583,9.1366,0.92503,0.69234,0.90702,0.15101,0.17918,5.8432,0.0054072,0.044172,0.0019474,0.00070285,6.9241e-06,0.1694
"215",31,0.99593,10.12,0.92461,0.80662,0.90702,0.15053,0.12257,2.7342,0.0082902,0.052333,0.0027313,0.00090459,1.5362e-05,0.27303
"216",31,0.99422,9.1985,0.91119,0.8375,0.98421,0.17712,0.055414,0.55887,0.016168,0.079996,0.0063587,0.0024534,5.5348e-05,0.38686
"217",32,0.86224,2.0735,0.52269,0.98686,0.99474,0.70529,0.010097,0.018554,0.041404,0.12163,0.014579,0.0048689,0.00027608,0.9458
"218",32,0.86248,2.0398,0.51338,0.98831,1,0.71419,0.0057488,0.0060148,0.052681,0.13941,0.019064,0.006376,0.00045928,1.0667
"219",32,0.88566,2.2029,0.54993,0.98635,1,0.59039,0.0037601,0.0025732,0.039469,0.12459,0.015285,0.0056604,0.00020409,0.84271
"220",32,0.88485,2.2398,0.55754,0.97997,0.99825,0.67974,0.0091286,0.015166,0.025658,0.087206,0.0075476,0.0021518,0.00017873,0.75154
"221",32,0.88661,2.2553,0.56472,0.98284,1,0.67537,0.012123,0.026749,0.022251,0.083617,0.0069433,0.0020893,0.00016304,0.60779
"222",32,0.83188,1.8445,0.46807,0.98691,1,0.75011,0.0049353,0.0044331,0.034814,0.10867,0.011672,0.0036787,0.0003005,0.80348
"223",32,0.85278,1.9935,0.50107,0.98449,0.99825,0.72127,0.0068277,0.0084843,0.015559,0.070923,0.005005,0.0015733,6.9367e-05,0.44798
"224",32,0.78676,1.6815,0.41383,0.97686,0.99825,0.7686,0.013524,0.033289,0.016538,0.076334,0.0057932,0.0019786,7.0661e-05,0.43227
"225",33,0.69887,1.4947,0.34694,0.97906,1,0.74423,0.0070445,0.0090318,0.067277,0.15809,0.024383,0.0079843,0.00066857,1.2554
"226",33,0.60555,1.3891,0.29569,0.97439,1,0.73603,0.010821,0.02131,0.1363,0.20829,0.04158,0.010017,0.0020084,2.2733
"227",33,0.79495,1.7056,0.42041,0.98477,1,0.76317,0.0074486,0.010098,0.064127,0.14621,0.020929,0.0061549,0.00065287,1.3662
"228",33,0.75535,1.6662,0.4065,0.97627,1,0.75126,0.0098445,0.017638,0.020477,0.09052,0.0081274,0.0031335,0.00012137,0.4391
"229",33,0.81992,1.8698,0.47287,0.97829,0.99825,0.65353,0.0074141,0.010004,0.06789,0.142,0.019765,0.004991,0.00096699,1.4857
"230",33,0.68878,1.4399,0.32986,0.98318,1,0.7847,0.0070802,0.0091235,0.083675,0.17243,0.028872,0.008786,0.0010143,1.5313
"231",33,0.73067,1.5145,0.34921,0.98686,1,0.81119,0.017693,0.056975,0.081485,0.16841,0.02758,0.0081927,0.00084762,1.552
"232",33,0.65119,1.4026,0.30387,0.9799,1,0.80081,0.0082573,0.012409,0.10567,0.185,0.033093,0.0087245,0.0013911,1.9632
"233",34,0.99569,9.9653,0.90578,0.91515,0.9807,0.17113,0.023896,0.10392,0.020381,0.082596,0.0067759,0.0024074,5.0484e-05,0.67264
"234",34,0.9967,11.361,0.914,0.91815,0.93684,0.14435,0.019976,0.072629,0.020667,0.085514,0.0072595,0.0028469,4.6487e-05,0.67925
"235",34,0.99841,16.832,0.94116,0.85531,0.9,0.094537,0.035845,0.23384,0.012341,0.066682,0.0044268,0.0017052,1.7724e-05,0.41828
"236",34,0.99799,15.068,0.93667,0.8807,0.95789,0.12132,0.032164,0.18828,0.011686,0.054827,0.002997,0.00086356,4.3787e-05,0.50576
"237",34,0.99512,10.377,0.90564,0.92135,0.99825,0.17941,0.016647,0.050433,0.0204,0.071662,0.0051092,0.0012661,0.00017021,0.71514
"238",34,0.99518,10.421,0.90385,0.96551,0.98947,0.20051,0.0077228,0.010855,0.021258,0.080385,0.0064203,0.0019168,9.5565e-05,0.66405
"239",34,0.99515,10.007,0.90328,0.91594,0.97719,0.16244,0.033129,0.19975,0.017258,0.070646,0.004966,0.0014641,7.1555e-05,0.59946
"240",34,0.99871,19.038,0.94834,0.851,0.90702,0.086183,0.073048,0.97117,0.0078165,0.048089,0.0023072,0.00075332,1.2922e-05,0.34029
"241",35,0.9109,2.5488,0.6106,0.97388,0.99825,0.55818,0.01972,0.070775,0.10132,0.17022,0.028158,0.0074614,0.0010974,2.3847
"242",35,0.90755,2.582,0.62394,0.96837,0.99825,0.55674,0.031714,0.18305,0.079387,0.16213,0.025613,0.0074124,0.00069878,1.6951
"243",35,0.91708,2.6498,0.62919,0.98493,1,0.57926,0.0068053,0.0084289,0.082187,0.16877,0.027693,0.0085027,0.00064002,1.7157
"244",35,0.8942,2.4203,0.59323,0.98407,1,0.60794,0.01743,0.055294,0.10102,0.18748,0.033957,0.0098155,0.0011793,1.8275
"245",35,0.93847,3.0198,0.67312,0.98733,1,0.53234,0.0076393,0.010621,0.07629,0.18017,0.03144,0.011932,0.00072251,1.2434
"246",35,0.89518,2.3875,0.581,0.98796,1,0.63833,0.0077926,0.011052,0.07304,0.1591,0.024688,0.0073807,0.00084138,1.408
"247",35,0.91707,2.6504,0.63359,0.96002,0.99298,0.53972,0.012062,0.026481,0.10121,0.18433,0.032861,0.0089657,0.0014149,1.7979
"248",35,0.91861,2.8114,0.64707,0.94843,0.95614,0.51186,0.045037,0.36915,0.041345,0.13297,0.017374,0.0070233,0.00018923,0.83183
"249",36,0.39093,1.1025,0.73351,0.72022,0.69474,0.17954,0.076072,1.0532,0.059213,0.15747,0.024197,0.0095408,0.00024731,1.2042
"250",36,0.47124,1.1349,0.81159,0.65915,0.47368,0.093982,0.096492,1.6945,0.098618,0.21062,0.042478,0.016848,0.00058101,1.5913
"251",36,0.68069,1.1866,0.78745,0.73496,0.6,0.14029,0.072447,0.95524,0.09277,0.18451,0.032923,0.010852,0.00059383,1.8568
"252",36,0.37522,1.1417,0.81725,0.68511,0.58772,0.12523,0.09186,1.5358,0.11488,0.20861,0.041703,0.013344,0.00082033,2.0281
"253",36,0.28064,1.0849,0.75319,0.72152,0.71404,0.13686,0.078996,1.1358,0.14122,0.2183,0.045488,0.012002,0.0015154,2.4059
"254",36,0.35344,1.0329,0.78147,0.70737,0.61579,0.13503,0.089763,1.4664,0.097663,0.20703,0.041101,0.016123,0.00045288,1.6935
"255",36,0.59988,1.1427,0.71532,0.66101,0.47544,0.15747,0.11337,2.3394,0.050389,0.13585,0.018121,0.00619,0.00026454,1.1526
"256",36,0.47195,1.0901,0.85409,0.53598,0.39649,0.078376,0.13227,3.184,0.082007,0.18782,0.034074,0.013487,0.00032855,1.5623
